dog_code,Dirofilaria,Agey,Sex,Mental,HR,RR,MM,CRT,temp_F,BCS,WBC,LYM,LYMPER,MID,MIDP,GRAN,GRANP,RBC,HGB,HCT,MCV,MCH,MCHC,RDW,PLT,MPV,SEG,BAND,LYMP,MONO,EOSIN,BASO,VARLYM,hhid,communidad,waypoint,latitude,longitude,GPS_lat,GPS_long,longitude,altitude
SC015-510,Neg ,7,M,Normal,88,Normal,Normal,Normal,101.4,5,13.63,2.72,20,1.89,13.8,9.03,66.2,5.88,14.3,39.56,67,24.3,36.2,15.7,60,11.6,58,0,30,6,4,.,2,SC015,Superacion Campesino,0,9.164466667,-79.14755,9.164464,-79.147555,-79.14755,0
SC016-611,Neg,1,F,Normal,96,24,Normal,Normal,101.5,4,29.76,4.55,15.3,3.41,11.5,21.8,73.3,4.94,11.6,30.45,62,23.5,38.1,15.5,61,8.6,48,0,40,6,6,.,.,SC016,Superacion Campesino,9.16351 -79.148683 -50 22,9.16351,-79.148683,9.16318,-79.148788,-79.148683,-50
TP001-334,Neg,1,F,QAR,100,Normal,Normal,Normal,102.2,4.5,11.56,3.22,27.9,1.74,15.1,6.6,57,5.36,11.1,31.96,60,20.7,34.7,17.3,64,8.1,60,0,34,4,2,.,.,TP001,Tierra Promitida,9.154261 -79.208866 -78.0999984741211 22.5,9.154261,-79.208866,9.154044,-79.209591,-79.208866,-78.09999847
TP001-335,Neg,0,M,QAR,112,Normal,slightly pale,Normal,103.7,2.5,6.96,2.73,39.3,3.03,43.5,1.2,17.2,3.91,8,23.73,61,20.5,33.7,18.2,27,13.7,66,0,28,6,0,.,.,TP001,Tierra Promitida,9.154261 -79.208866 -78.0999984741211 22.5,9.154261,-79.208866,9.154044,-79.209591,-79.208866,-78.09999847
TP001-336,Neg,1,M,QAR,140,Normal,Normal,Normal,102.9,2.5,7.93,0.55,6.9,0.63,8,6.75,85.1,4.28,8.5,25.01,58,19.8,33.8,16.6,17,13.8,76,0,20,4,0,.,.,TP001,Tierra Promitida,9.154261 -79.208866 -78.0999984741211 22.5,9.154261,-79.208866,9.154044,-79.209591,-79.208866,-78.09999847
TP001-337,Neg,0.75,F,Normal,96,Normal,slightly pale,Normal,101.9,2.5,10.09,3.78,37.5,2.17,21.5,4.14,41.1,4.85,9.9,31.98,66,20.4,31,17.1,11,11.3,45,0,49,4,2,.,.,TP001,Tierra Promitida,9.154261 -79.208866 -78.0999984741211 22.5,9.154261,-79.208866,9.154044,-79.209591,-79.208866,-78.09999847
TP002-338,Neg,1.5,F,Normal,88,24,Normal,Normal,100.5,4,14.46,5.2,36,1.11,7.7,8.15,56.3,6.52,12.5,34.78,53,19.1,35.8,18.4,78,8.8,54,0,40,6,0,.,.,TP002,Tierra Promitida,9.153142 -79.210943 62 15.5,9.153142,-79.210943,9.153178,-79.210883,-79.210943,62
TP003-339,Neg,1.1,M,QAR,104,Normal,Normal,Normal,102.5,2,10.27,3.2,31.2,0.73,7.1,6.34,61.7,5.04,10.8,30.15,60,21.4,35.8,19.1,83,13.9,72,0,20,6,2,.,.,TP003,Tierra Promitida,9.164044 -79.208151 -23.700000762939453 15,9.164044,-79.208151,9.164289,-79.208248,-79.208151,-23.70000076
TP003-340,Neg,0,M,Normal,120,Normal,moderately pale,Normal,102.6,2.5,8.7,0.83,9.5,0.52,6,7.35,84.5,3.6,7.4,20.79,58,20.4,35.4,18.6,20,15.5,70,0,28,2,0,.,.,TP003,Tierra Promitida,9.164044 -79.208151 -23.700000762939453 15,9.164044,-79.208151,9.164289,-79.208248,-79.208151,-23.70000076
TP003-341,Neg,4,M,Normal,104,Normal,Normal,Normal,100.5,3.5,13.58,6.08,44.8,2.28,16.8,5.22,38.4,5.05,11.8,35.19,70,23.4,33.6,15.9,126,11.7,76,0,16,2,6,.,.,TP003,Tierra Promitida,9.164044 -79.208151 -23.700000762939453 15,9.164044,-79.208151,9.164289,-79.208248,-79.208151,-23.70000076
TP004-342,Light Pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP004-400,Neg,8,F,Normal,108,32,Normal,Normal,103.2,3.5,20.13,5.49,27.3,2.7,13.4,11.94,59.3,4.31,10.4,26.76,62,24.1,38.8,14.5,306,8.1,70,0,26,4,0,.,.,TP004,Tierra Promitida,9.166368 -79.20746 119.5 12.5,9.166368,-79.20746,9.166355,-79.207554,-79.20746,119.5
TP005-343,0,13,M,Normal,126,Normal,Normal,Normal,101.2,3.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,TP005,Tierra Promitida,9.162911 -79.209964 110.69999694824219 19,9.162911,-79.209964,9.163265949,-79.21022783,-79.209964,110.6999969
TP005-344,Neg,2,M,Normal,100,Normal,Normal,Normal,100.9,3,9.74,1.54,15.8,1.21,12.4,7,71.8,7.24,15.3,41.82,58,21.1,36.5,17.9,90,14.6,60,0,30,2,8,.,.,TP005,Tierra Promitida,9.162911 -79.209964 110.69999694824219 19,9.162911,-79.209964,9.163265949,-79.21022783,-79.209964,110.6999969
TP005-345,Neg,2,M,Normal,118,Normal,Normal,Normal,101.1,5,11.49,3.69,32.1,1.54,13.4,6.26,54.5,5.39,11.8,32.06,60,21.9,36.7,17.3,49,13.9,69,0,22,6,3,.,.,TP005,Tierra Promitida,9.162911 -79.209964 110.69999694824219 19,9.162911,-79.209964,9.163265949,-79.21022783,-79.209964,110.6999969
